cell_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
21,-7.9687967,3.4794936,-9.6417055,-1.1694707,3.3326983,-7.7569003,-0.5991341,7.8824143,-7.375816,-0.42904025,-21.24157,-0.49751282,-5.8639746,3.2471545,5.756548,16.350573,-8.434791,6.5032454,5.9075212,-4.8337936,-3.5179822,2.1260672,-8.100749,3.5435154,-12.702202,-2.6409235,-1.4860953,-4.591778,8.809155,-7.8577905,-9.785952,2.17479,-12.326813,0.6338021,5.8944254,5.249549,2.8688195,3.6983936,-6.114416,0.4768798,-11.388444,0.7841482,10.425176,-12.9293165,-10.423356,2.891215,1.1291715,-0.9073373,2.144287,-8.40782
22,9.356992,14.40773,-8.725481,-1.2787668,0.45521536,-9.161308,0.3489935,3.040085,0.24294128,-0.08907545,-3.2826934,-4.793353,3.6412709,8.688718,-1.7851954,9.063847,-1.1854562,5.768233,6.8081527,-13.967897,-14.106411,-4.973635,-7.6124516,8.160844,-3.2842667,1.3130673,3.0498424,-7.261869,0.564218,1.2085239,5.129667,-2.59176,-8.727826,4.4820805,-5.927069,14.561859,11.180218,1.6012087,-2.7162638,11.766137,-11.976235,-6.3874183,7.169603,-3.002155,1.564341,2.798827,-11.292065,0.5092111,1.529453,-0.74924517
23,4.9764977,6.0522075,-9.120095,0.3102163,4.949567,-8.887156,-3.7721221,-6.0556507,-4.443566,1.5878422,-5.391779,-2.796124,-2.8089814,6.4735622,-1.5771244,15.342188,-4.947041,9.594453,2.42232,-15.940116,-13.393341,-6.8787265,-9.9344015,3.5917468,-7.062387,-5.1616416,5.4130645,-2.3621697,6.154954,-5.0457153,7.859109,-2.0861592,-4.559365,10.614869,-8.762886,13.949073,6.6816063,5.187851,1.912094,11.430032,-11.471717,-8.515378,13.063299,-4.1841407,-10.949914,-6.0603056,-7.0158176,-0.37396675,-2.9383898,6.054098
24,0.7336908,2.8406098,-6.2833366,2.9537451,1.1636146,-10.312004,0.25833964,0.8407745,3.3332665,-0.6965675,-11.052076,3.407599,2.6367846,12.847202,-0.79404724,14.472247,-9.176621,9.049713,2.1054263,-12.748635,-14.264944,-3.8855786,-1.2745888,8.3765335,-6.907105,-1.1437079,7.517507,-8.934613,5.924127,2.9071803,7.000606,-8.525248,-13.709385,5.9717216,-9.328851,8.318019,8.045324,6.3545938,-2.8908205,7.775591,-3.035358,-11.152508,3.3259919,-0.853269,-8.108391,1.4108955,-14.055771,2.4465837,-2.0549397,-1.1633382
25,-3.6974366,10.90806,1.4264292,11.324214,3.6920717,-9.68907,-5.3643484,-1.3251648,-6.2489657,4.0918865,-3.6152072,-4.189196,-0.97513545,1.9523644,6.486437,7.3406806,5.673714,5.1406407,6.4611244,-1.0296345,-0.3754874,-6.3745766,3.3525157,-12.041752,-10.205881,1.0760566,-0.3239209,-6.8381114,1.8931147,0.60138905,-2.8032496,0.88582206,-11.107378,1.746333,-3.5563602,-1.4314368,6.499939,2.307504,-3.6100175,4.1034036,2.7779164,8.842579,3.8839989,0.3024428,-7.7324114,-2.0073347,1.4135872,7.8320436,-7.541036,-0.05739199
26,0.8316898,11.247791,-12.08604,7.1078677,-0.36661595,-5.7151003,-10.308933,1.4140846,-10.287088,1.8747544,-10.276832,-8.789191,4.516878,-1.8441757,3.9706118,3.7544258,2.7666662,21.07767,8.39899,-12.802459,-15.690322,-7.463682,2.6689496,-3.0475743,-8.3596325,6.472734,1.7323763,-1.4563973,-5.4328365,-3.3112113,6.132087,-7.4286337,-6.1576347,2.5665288,-6.5590177,7.73646,0.032481883,12.093095,-2.673909,11.918812,-13.942865,-3.0758314,12.290465,0.12796655,-12.135799,0.97751105,1.1706464,0.9747891,2.8471367,2.602902
27,0.7994651,13.82587,-0.90459573,1.1170808,5.967261,-2.9154875,-8.459094,4.6568522,-2.6917078,-5.9777803,0.10629484,-3.3945644,7.427425,10.372098,0.7689552,8.872929,1.4966446,7.4267025,5.9524436,-6.0964537,-16.762245,5.2837887,-6.7549143,-6.960043,-18.538078,-3.851107,-0.09795365,-12.230693,-2.2177489,0.44169655,4.1146903,-0.5486032,-10.165983,-6.036379,1.4881829,6.447143,5.7384524,9.9258,3.8800364,-3.0575876,-6.9595547,2.978522,3.4125896,2.2528186,-15.318414,-3.2617776,-1.4281073,11.247621,2.8716514,-2.3349626
28,-0.6297742,13.524702,-4.134587,7.6384783,5.492695,-4.3484244,-14.148202,1.8013793,4.5999813,-6.623634,-3.7857513,-4.8440146,1.3733788,11.244691,2.213919,5.6872535,-5.748328,10.397063,10.893333,-3.9529676,-2.7881498,7.509036,-5.0125957,-8.058605,-16.695702,-2.9110527,7.8499646,-5.042717,-3.4544475,9.791787,1.2655016,6.260824,-12.816359,-8.408477,-9.506002,10.0116,13.393354,-2.405666,1.2626375,1.4887217,-9.722823,1.1997033,4.059934,-0.5820822,-10.372382,0.8339902,-13.31094,4.15666,11.267261,0.3325059
29,-9.791693,7.4685216,3.6515155,6.885472,4.517892,-5.23055,-8.225629,3.33642,-9.052803,-4.4707174,-4.5538974,-0.20954494,-2.3249452,6.2103124,6.4641266,13.324597,-0.25548503,1.509372,9.080613,-5.4302874,0.062445108,-3.2234468,-3.2379143,-9.30211,-9.1660385,-1.687797,-0.5275549,-4.219429,0.57775897,-1.921097,-3.9371235,3.8603055,-8.455558,-0.36159766,-1.4034212,-1.3835356,2.812174,3.4443498,-4.447465,-3.9063346,-5.0988455,11.385665,0.7767964,-4.574186,-13.792165,4.112782,0.5930784,6.946415,-5.181302,-3.3648038
30,8.5429735,12.131295,-16.706156,2.737654,5.6279755,-11.082565,-0.009626832,6.1063986,6.0904956,-0.51949054,-4.4845986,-4.724632,-0.8383645,13.095263,-1.2625437,8.350316,-5.778266,5.8369956,6.716101,-14.929272,-8.4809675,-0.8044758,1.0819763,-1.2036092,-5.8110466,0.6969457,10.109633,-7.6477337,-2.9530368,2.6174667,13.659205,-3.5420542,-10.053786,3.2106333,-11.602882,1.925344,3.2655797,10.063722,1.5541475,12.457624,-6.8533983,-11.556988,4.656738,-0.5082011,-5.702844,-0.4895424,-11.518905,2.0598907,-10.287232,7.066366
