,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,cell_index
4912,-0.55551696,0.53735197,0.3011608,0.12435621,0.0032157674,1.7939161,0.39755765,-0.08826716,-0.2405012,-1.2552373,-1.304461,-0.71885365,-0.99780095,-0.17005584,0.1494035,0.4516702,-0.28640842,0.10493458,-0.8741542,0.76791126,13
2000,0.03755492,-0.67313397,0.67107534,-0.28411552,-0.518432,0.25193453,0.9152116,0.9792433,0.1406222,-1.6482248,-0.48171246,-0.5637289,0.095308095,-0.24271005,0.3074089,0.763153,1.1893423,0.61839795,-1.0517106,0.29181597,14
4579,-0.5070529,0.13779591,-0.21516655,-0.028322808,-1.1104007,-0.50721747,0.214475,1.7498028,-1.0866414,-1.3449627,-0.22276326,-0.36769256,0.1377686,1.2236712,-0.36753178,1.1860244,0.90120685,-0.38977218,-1.6646124,1.1206757,15
4566,-0.20389532,0.7488544,0.68041027,-0.0696797,-1.7825645,-1.1539664,-0.5381354,0.17997907,-0.6288223,-0.58512574,-1.9964051,0.46147412,-1.3094463,-0.9435321,-0.5567623,-0.92509645,0.10627844,-1.4653742,-0.40319115,1.3521813,16
208,-0.35512862,0.04723391,0.04776797,-0.6139961,0.5070359,0.9911481,0.63681304,-0.38858724,0.106543764,-1.3230041,-1.2934741,-0.36893064,-1.4649096,0.27591053,-0.32649705,-0.22222069,-0.3923107,-1.2205386,-1.2297702,1.0350034,17
2418,-0.36753088,0.16889997,0.34881318,-1.1985114,-0.49549672,-0.5841809,1.2029195,-0.32199144,0.19409414,-1.223916,-1.2735586,1.1737382,0.025682122,0.92623925,-1.234341,1.3551883,-0.34217712,-1.1728128,-1.3027649,1.5221359,18
3715,-0.1236699,0.51544863,0.36806425,-0.060868032,-0.84950095,0.27258688,1.0642182,1.2982051,-0.78749025,-0.894738,-0.23243997,-1.2890787,0.09679291,-0.25884333,0.7614406,0.566126,0.58064955,0.35177705,-0.4025349,0.7877385,19
459,-0.965613,-0.25497803,0.9059595,0.7042638,-1.4135904,-0.7808224,-0.46371925,0.53217953,-1.5620661,-2.0948858,-1.515128,0.7710133,-0.14614603,1.2440972,-0.82054436,0.39545783,0.6922412,-0.12687914,-1.381186,0.85712177,20
3268,-0.97687936,0.48178178,0.4137384,0.28716448,-1.5068299,-0.31849304,-0.874423,-0.024376487,-0.39426386,-2.6090558,-1.8870814,0.30785882,-0.44447264,0.38939807,-0.63475126,0.41027635,1.0506465,-0.40996194,-1.5625248,0.43006787,21
4223,-0.55329686,0.96054196,-0.04232078,-0.64239556,-0.31973088,1.3910816,0.34741032,-0.23812093,-0.21251391,-1.676614,-1.1022762,-0.73457474,-1.1646159,-0.03435805,-0.35695878,-0.5106144,0.3847737,-0.606417,-1.8734951,1.6798189,22
767,-0.98952645,0.6209678,0.36163074,-0.14836918,-0.4747445,0.7582053,-0.472811,0.42642498,-1.2444352,0.3484053,-0.78537947,0.74319744,-2.2616394,-0.38629803,-0.93825525,-0.4684203,1.0186033,-1.0004935,-2.1368089,2.0027878,23
4208,-0.763172,0.23404342,0.63308156,-0.01948009,-0.9817624,0.5417393,0.07493181,0.24892887,-0.60585,-0.3083613,-0.14497353,-1.5270591,-1.3828133,-0.23442969,-0.25301966,-0.21221867,1.1849864,0.1430973,-1.3542362,1.7790099,24
