cell_index,x,y,n_transcripts,density,elongation,area,avg_confidence
208,3168.3485915493,486.43838028169,568,0.03304,1.557,17190,0.9989
209,1563.22916666667,2172.83333333333,48,0.01733,2.443,2770,0.9577
210,1693.38675958188,2039.63414634146,287,0.03884,1.719,7390,1
211,3393,356.636363636364,11,0.01267,2.152,868,0.9982
212,3554.78629032258,223.254032258065,248,0.03259,1.292,7610,0.9909
213,3660.36134453782,32.9159663865546,119,0.01863,1.49,6388,0.9207
214,1776.70899470899,1990.12169312169,189,0.02852,1.912,6628,0.9998
215,3268.01351351351,458.013513513514,148,0.01946,1.551,7606,0.9848
216,1634.26373626374,2134.86813186813,91,0.0206,3.74,4418,0.985
217,2034.64516129032,1698.03225806452,31,0.0115,2.11,2696,0.7791
218,3254.12790697674,494.220930232558,86,0.02179,1.874,3946,0.9895
219,1490.66310160428,2227.58823529412,187,0.02494,1.76,7498,0.976
220,2180.61290322581,1543.96774193548,124,0.0161,2.142,7700,0.9244
221,3394.42948717949,298.724358974359,624,0.03145,2.95,19840,0.9871
222,2327.8,1417.76428571429,140,0.01336,3.245,10480,0.8695
223,1454.07586206897,2293.19310344828,145,0.02134,1.513,6796,0.9343
224,2126.36842105263,1771.47368421053,19,0.01157,5.678,1642,0.4315
225,2613,1194.5652173913,46,0.02205,1.97,2086,0.9985
226,2001.84375,1775.90625,32,0.0107,3.226,2990,0.7857
227,3238.38461538462,735.615384615385,26,0.01487,3.003,1748,0.972
228,2483,1241.05263157895,19,0.01698,3.248,1119,0.6991
229,1411.60465116279,2370.44186046512,86,0.01996,3.293,4308,0.9718
230,2096.8,1665.16363636364,110,0.008751,1.109,12570,0.7889
231,3624,82.2444444444444,90,0.02602,2.797,3459,0.9531
232,3169.8064516129,639.254032258065,248,0.02855,3.558,8686,0.9937
233,1610.2,2207.06666666667,15,0.01858,3.818,807.5,0.8128
234,2582.77777777778,1248.46666666667,90,0.0282,1.265,3192,1
235,1585.9375,2249.375,16,0.01896,10.2,844,0.971
236,3364.66666666667,455.547619047619,84,0.02048,1.493,4102,0.9888
237,2549.9837398374,1208.08130081301,123,0.02526,5.481,4870,0.9661
238,2259.30769230769,1643.67692307692,65,0.008276,2.102,7854,0.6312
239,1447.2868852459,2404.95901639344,122,0.01922,2.962,6348,0.9396
240,2995.20353982301,763.546902654867,565,0.02819,1.226,20040,0.9894
241,2551.81034482759,1306.06896551724,58,0.01508,2.535,3846,0.9934
242,3651.59146341463,227.670731707317,164,0.01757,1.498,9336,0.9811
243,1769.55263157895,2128.78947368421,38,0.02086,1.969,1822,0.9998
244,3319.5,523.584745762712,118,0.01872,1.617,6304,0.9999
245,3101.64406779661,859.516949152542,118,0.0138,3.942,8549,0.9925
246,3434.72685185185,404.273148148148,216,0.02537,2.53,8514,0.9785
247,1409.78048780488,2451.78048780488,41,0.01229,1.422,3337,0.9959
248,2385.04166666667,1469,24,0.01429,13.4,1680,0.4944
249,1781.19512195122,2068.54471544715,123,0.02508,1.742,4905,0.9958
250,2293.57055214724,1526.55828220859,163,0.01355,2.011,12030,0.873
251,1732.9,2176.05,60,0.01514,1.915,3964,0.9874
252,2514.28985507246,1328.39130434783,138,0.02614,2.591,5280,0.984
253,3551.83944954128,328.279816513762,218,0.01722,1.916,12660,0.9639
254,3746.92105263158,79.1754385964912,114,0.0266,2.092,4286,0.9735
255,2880.6724137931,1060.75,116,0.01744,1.59,6652,0.9355
256,3447.25833333333,465.375,120,0.02512,1.66,4778,0.9925
257,2519.24489795918,1395.75510204082,98,0.01926,1.466,5089,0.9957
258,3769.58783783784,144.959459459459,148,0.02109,1.634,7016,0.9507
259,2604.66086956522,1309.62608695652,115,0.02054,1.217,5598,0.9603
260,1607.10638297872,2340.67021276596,94,0.02272,1.448,4138,1
261,3274.28755364807,675.18025751073,233,0.03538,1.055,6586,1
262,3022.83561643836,870.424657534247,146,0.01387,1.453,10530,0.8987
263,1836.16666666667,2164.33333333333,54,0.01079,2.304,5004,0.9404
264,3126.24528301887,789.141509433962,106,0.01258,2.387,8426,0.9997
265,2938.15789473684,970.263157894737,38,0.008537,2.19,4451,0.3785
266,2780.24285714286,1140.84285714286,70,0.008339,2.512,8394,0.911
267,2663.41176470588,1233.21078431373,204,0.0193,1.598,10570,0.9759
268,1403.50724637681,2555.33333333333,69,0.02575,3.197,2680,0.9822
269,2945.1,1090.7,10,0.01706,4,586,0.5921
270,1637.21641791045,2275.51492537313,268,0.0315,1.957,8509,1
271,3335.57142857143,594.476190476191,21,0.0124,2.976,1694,0.8082
272,1436.33333333333,2507.00574712644,174,0.02468,1.287,7050,0.9857
273,3401.66666666667,511.964285714286,84,0.01161,1.169,7234,0.9708
274,2773.33898305085,1266.13983050847,236,0.01589,1.28,14850,0.9964
275,3215.38235294118,805.647058823529,68,0.01597,2.182,4258,0.9998
276,3724.21052631579,223.263157894737,19,0.01267,3.15,1500,0.6849
277,3012.87804878049,943.487804878049,41,0.0212,1.638,1934,0.9604
278,3742.44303797468,243.772151898734,158,0.02188,1.127,7220,0.9984
279,3618.51851851852,278.444444444444,135,0.01522,1.928,8869,0.9339
280,3266.64795918367,626.285714285714,196,0.02972,1.301,6595,0.9959
281,3940,111.416666666667,24,0.008424,1.905,2849,0.9213
282,1938.86666666667,2015.93333333333,15,0.0151,3.449,993.5,0.2906
283,3448.74090909091,570.040909090909,220,0.01963,1.772,11210,0.9912
284,3515.57868020305,443.337563451777,394,0.02951,1.891,13350,0.9846
285,3375.82513661202,668.213114754098,183,0.01846,1.114,9914,0.9992
286,1342.28571428571,2680.08571428571,35,0.01692,14.49,2068,0.8406
287,2532.63768115942,1408.82608695652,69,0.009262,1.13,7450,0.9174
288,3598.71071428571,456.139285714286,280,0.03311,1.391,8457,1
289,3112.53409090909,834.068181818182,88,0.01221,2.094,7210,0.9487
290,2690.5796178344,1360.5923566879,157,0.0138,1.292,11380,0.9967
291,3279.69938650307,762.536809815951,326,0.03196,1.3,10200,0.9994
292,1564.29411764706,2428.70588235294,17,0.008317,1.349,2044,0.4072
293,3183.3,822.71,100,0.0192,1.613,5207,1
294,3695.97101449275,279.144927536232,69,0.01227,1.5,5623,0.9612
295,1503.41584158416,2492.62376237624,101,0.01706,1.561,5921,0.9349
296,1671.48181818182,2374.00909090909,110,0.0169,2.134,6507,0.9976
297,1664.125,2330.5875,80,0.02242,1.383,3569,1
298,2610.54639175258,1441.43298969072,97,0.02247,1.889,4316,0.9953
299,1774.39344262295,2269.81967213115,61,0.01871,2.329,3261,0.993
300,3626.96190476191,606.285714285714,105,0.01768,1.8,5938,0.9914
301,1647.55555555556,2392.77777777778,90,0.02105,1.239,4276,0.9999
302,1475.10267857143,2598.54017857143,224,0.02316,1.374,9670,0.9722
303,1978.90789473684,2099.73684210526,76,0.008081,1.943,9405,0.749
304,2510.35106382979,1478.65957446809,94,0.02354,1.724,3994,0.895
305,3093.23151125402,943.749196141479,311,0.02814,2.077,11050,0.9948
306,3881.10903426791,160.822429906542,321,0.02414,1.17,13300,0.9678
307,4018.76923076923,58.8846153846154,26,0.008604,2.641,3022,0.5185
308,1641.25842696629,2467.59550561798,89,0.02225,1.707,4000,0.9906
309,3959.5,207.519230769231,104,0.01789,1.962,5812,0.999
310,3179.63760217984,1009.4659400545,367,0.03598,1.78,10200,0.9948
311,1373.13636363636,2674.5,22,0.01858,1.699,1184,0.9853
312,1572.5,2486.6875,16,0.01412,1.051,1133,0.7669
313,2418.55384615385,1659.81538461538,65,0.01849,1.482,3516,0.969
314,2726.08333333333,1315.73611111111,288,0.02092,1.346,13770,0.9857
315,3267.38372093023,858.093023255814,86,0.02163,2.28,3976,0.9894
316,2626.97590361446,1500.03614457831,83,0.02088,1.783,3976,0.973
317,3681.33823529412,404.019607843137,204,0.02637,1.39,7735,0.9913
318,2204.48979591837,1857.57142857143,49,0.007564,1.198,6478,0.6772
319,3732.17021276596,316.900709219858,141,0.02225,2.739,6338,0.9959
320,3302.91869918699,707.394308943089,246,0.02494,1.949,9864,0.9961
321,1418.3623853211,2657.04128440367,218,0.02637,1.516,8268,0.9835
322,1732.15625,2304.484375,64,0.01502,2.463,4261,0.9934
323,3603.63333333333,392.811111111111,180,0.02377,1.63,7572,0.9978
324,3200.96178343949,904.662420382166,157,0.01955,1.481,8032,0.9744
325,3085.30188679245,962.811320754717,53,0.0116,4.756,4568,0.9349
326,2351.58823529412,1735.85294117647,34,0.009759,2.357,3484,0.5296
327,1734.56578947368,2355.97368421053,76,0.01536,2.589,4949,0.9371
328,3499.15384615385,617.307692307692,26,0.02696,1.677,964.5,0.9673
329,2014.82352941176,1998.05882352941,17,0.004441,4.296,3828,0.2963
330,3760.73684210526,313.473684210526,38,0.01321,2.665,2877,0.933
331,2244.57142857143,1924.28571428571,21,0.008564,1.424,2452,0.5752
332,2461.66666666667,1617.75,12,0.01734,13.84,692,0.7107
333,2946.07024793388,1213.77272727273,484,0.02608,1.256,18560,0.997
334,2712.92857142857,1449.83035714286,112,0.0149,1.41,7518,0.941
335,3051.02222222222,1083.77777777778,45,0.01237,1.727,3638,0.8489
336,3436.83116883117,753.253246753247,154,0.01935,2.127,7960,1
337,2004.60975609756,2196.91463414634,82,0.01103,1.083,7437,0.8751
338,2590.17391304348,1509.15217391304,46,0.02424,1.936,1898,0.9961
339,1747.69060773481,2388.59668508287,181,0.02998,2.385,6038,1
340,2524.75,1588.16666666667,84,0.02909,9.877,2888,0.9385
341,2861.22868217054,1195.1511627907,258,0.0273,1.918,9450,0.9891
342,1977.72868217054,2273.24031007752,129,0.01307,1.034,9871,0.8823
343,2743.17733990148,1413.75369458128,203,0.02244,2.82,9048,0.9994
344,2793.93506493507,1483.63636363636,231,0.02439,1.616,9470,0.9949
345,1378.64957264957,2738.44444444444,117,0.01872,2.47,6250,0.9467
346,1865.26666666667,2242.66666666667,15,0.008206,6.054,1828,0.3517
347,2284.375,1878.25,8,0.009969,9.188,802.5,0.4331
348,1327.72222222222,2853.30864197531,162,0.0212,4.127,7640,0.944
349,2515.775,1658.375,40,0.01634,2.849,2448,0.846
350,2588.93333333333,1611.71111111111,90,0.01586,2.329,5674,0.9209
351,3822.05179282869,282.705179282869,251,0.02454,2.269,10230,0.9988
352,1862.32038834951,2332.71844660194,103,0.008097,1.228,12720,0.8127
353,2423.1,1756.4,10,0.01079,8.323,927,0.6499
354,3083.40243902439,1138.91463414634,82,0.01547,3.921,5302,0.9999
355,3635.58181818182,521.954545454546,110,0.01753,1.482,6276,0.9853
356,3669.74285714286,486.728571428571,140,0.01919,1.963,7295,0.9816
357,4013.32530120482,233.795180722892,83,0.01575,1.916,5269,0.9921
358,3884.19718309859,281.591549295775,71,0.0121,4.49,5870,0.9763
359,3037.30172413793,1162.3275862069,348,0.02518,1.224,13820,0.9936
360,2602.83870967742,1562.22580645161,31,0.01176,2.038,2636,0.7619
361,2852.21195652174,1317.01630434783,184,0.01375,1.529,13380,0.9913
362,2944.48076923077,1164.61538461538,52,0.01654,1.401,3144,0.9982
363,1695,2430.69172932331,133,0.02672,1.868,4978,0.9658
364,2934.84666666667,1315.42666666667,150,0.01968,2.418,7622,0.997
365,2491.77852348993,1748.61744966443,149,0.02996,1.932,4974,0.9895
366,4111.73333333333,109.533333333333,15,0.02488,2.558,603,0.8758
367,3946.53164556962,204.601265822785,158,0.01519,1.68,10400,0.9807
368,1573.58333333333,2608.52631578947,228,0.01984,1.572,11490,0.9632
369,2664.78823529412,1537.09411764706,85,0.02789,2.828,3048,0.9947
370,3745.80813953488,452.726744186047,172,0.02722,1.557,6320,0.9929
371,1651.94029850746,2593.88059701493,67,0.0209,1.734,3206,0.9686
372,1755.375,2459.625,32,0.0166,2.504,1928,0.9954
373,3898.02197802198,315.752747252747,182,0.01929,1.493,9436,0.9923
374,1618.15384615385,2529.57692307692,26,0.01252,5.293,2077,0.9491
375,2803.43778801843,1388.41013824885,217,0.02109,1.482,10290,0.9785
376,3413.19015659955,849.429530201342,447,0.04282,1.984,10440,0.9987
377,4031.91428571429,133.657142857143,35,0.01014,2.216,3452,0.6769
378,3585.2905027933,702.815642458101,179,0.01624,2.094,11020,0.9916
379,3494.31333333333,668.206666666667,150,0.02209,1.988,6790,0.9758
380,2477.70247933884,1830.23966942149,121,0.01605,1.341,7540,0.8924
381,3496.28318584071,737.517699115044,226,0.03624,1.891,6237,0.9998
382,3121.8018018018,1044.63063063063,111,0.01841,1.805,6030,0.9705
383,2059.96551724138,2252.43103448276,58,0.008693,1.193,6672,0.7792
384,2162.29220779221,2109.69480519481,154,0.01224,2.251,12580,0.9334
385,4264.70833333333,24.2083333333333,24,0.01087,1.674,2208,0.5904
386,3126.20652173913,1112.13043478261,92,0.01545,1.618,5955,0.9543
387,3329.6032388664,956.072874493927,247,0.02991,1.346,8258,0.9992
388,3237.82,977.386666666667,150,0.02554,1.226,5872,1
389,1538.42222222222,2693.52222222222,90,0.01594,2.95,5646,0.9318
